gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,avg_monthly_spend_ratio,support_score,streaming_count,is_high_value,engagement_score,churn_probability
0.094305106,-0.008657775,-0.00046253228,-0.19993193,-0.76328295,-0.0061427783,0.05096896,-0.23057072,-0.04473916,0.009073228,-0.09446543,0.02028585,0.048644993,0.050429177,0.27742812,-0.23732127,-1.0403492,-0.17176725,-0.3749773,0.0022200078,0.19698866,0.04918642,-0.008016503,0.01738649,-0.14666529,0.0034260422,-0.008959781,0.2598147,-0.31876022,0.17083155,0.0076438896,-0.07694695,0.08526777
-0.0090786,0.08935873,0.00036784803,0.030712869,0.19056611,-0.017055038,0.124313764,0.042980425,0.018926954,-0.0064342692,-0.13252564,0.030078601,0.027797733,0.10029857,0.30903,0.10445958,0.5209811,-0.032952663,0.0793678,0.0017788117,0.33708036,0.087912224,-0.00079046574,0.023110645,-0.2040687,-0.0045573576,0.01571018,0.17547046,-0.009582017,0.13752908,0.0012981314,0.00066291913,0.8940977
-0.019314738,-0.03350505,0.00081797875,-0.09094683,0.002233715,-0.032228045,0.04734572,-0.18357947,-0.014422075,0.0038965445,0.028414167,0.016147397,-0.112667404,0.06191789,-0.025475185,0.073777765,-0.86927927,0.09173714,0.094163485,-0.015551721,-0.25299692,0.07857289,0.002965148,0.02484064,-0.17495076,0.00086730294,-0.013660374,-0.24068947,-0.12616727,-0.05720184,-0.0074298615,0.0413774,0.16792016
0.0005250152,-0.027578652,0.016196208,0.021264803,0.040557325,-0.020478824,-0.08415281,0.041240204,0.010977325,0.00790146,-0.12750266,-0.0264413,-0.025305947,-0.2573889,-0.04921873,-0.049855705,0.56310254,-0.028269729,0.05964503,0.0010898644,0.271621,0.076643825,0.00011476656,0.0007934602,0.22813703,0.0033376608,-0.016539186,-0.15144295,-0.04264943,-0.09381076,-0.0007203236,-0.005735867,0.60745007
-0.030372864,-0.033383712,0.009089564,-0.0030590266,-1.1074142,-0.054443482,0.07797906,-0.20931172,-0.034375228,0.0038787392,0.0448481,0.035279192,0.060108997,0.07575647,-0.15543376,-0.0695122,-0.9372933,-0.16305415,-0.36742687,-0.01560486,-0.24655347,0.051693074,0.0039220797,0.009317502,-0.22239822,0.003122917,-0.013660374,-0.5688982,-0.1624287,0.17971325,-0.0074298615,-0.007891196,0.022872414
-0.0090786,-0.018268786,0.000890011,0.032188427,0.09033929,-0.024419805,0.093672186,0.049139973,-0.024346124,-0.004596591,0.045025624,0.035766963,0.042707466,0.1241258,0.29861444,-0.067900725,0.48032764,-0.03164714,0.07567156,0.0032249663,0.3083549,0.08335206,-0.00051650277,0.022132732,-0.21614201,0.000664123,-0.012065866,-0.17999543,-0.008888737,0.1449306,0.0012981314,0.0008101554,0.8078222
-0.013773733,-0.018335378,-0.006992618,0.03081341,0.07490845,-0.0138059,-0.083606064,0.038540266,-0.02033697,-0.009548129,-0.15234089,0.026020022,0.031146238,0.113611065,0.2903618,-0.05320001,0.4799451,-0.041772928,0.077552415,0.0032249663,0.30295026,0.077278756,0.0029057034,-0.003326398,-0.19435559,0.000664123,-0.012065866,-0.16085571,-0.034640722,0.1446833,0.0012981314,0.0010961159,0.7268291
-0.0065226154,-0.025235439,0.00032475818,-0.09460405,0.014698557,-0.02486549,0.11477053,0.035809886,0.008216113,-0.0030344771,0.034792144,-0.02077373,-0.04683336,0.08735505,-0.15440008,0.02606358,0.4577116,-0.02082121,0.06383116,-0.0010760127,-0.4073487,-0.6037095,-0.008276807,0.0052240454,-0.21779878,0.0040040654,-0.00022914249,-0.22942287,0.069693245,-0.110233344,-0.0012617838,-0.0061122496,0.2769754
-0.001369939,-0.03411473,0.014616449,-0.07710245,-0.14512992,-0.037114017,-0.05611085,0.022903837,0.006899247,-0.0030344771,0.0328213,-0.032802075,-0.07342348,-0.15602186,-0.2794905,-0.14468688,-0.9952748,-0.07882365,-0.34676504,-0.0071152085,-0.22544047,-0.4042256,-0.010452036,-0.005138503,-0.15005276,0.003965047,-0.018133692,-0.4570444,0.060764845,-0.14050353,-0.0007203236,0.006438206,0.025802765
3.2454263e-06,0.1352655,-0.0070805494,0.031132141,0.0027799043,-0.038581617,-0.10315428,0.044948466,0.0120164,-0.0042767343,0.038388878,-0.02761542,-0.036456477,0.085796356,-0.052604426,0.028198648,0.4891746,-0.022174085,0.056907568,0.00387488,-0.36029992,0.08881387,-0.0027380586,0.00042789127,0.2817589,0.00226224,-0.00022914249,-0.19527999,0.080865666,-0.11166857,-0.0012617838,0.0026962254,0.6277182
0.0821866,-0.007596769,0.011804362,-0.13649957,-0.102389984,-0.023986135,0.08404472,-0.23762672,-0.054911196,-0.009577213,0.0315926,0.041402668,0.028905151,0.10507578,0.281219,0.057553463,0.43610546,-0.033662282,0.038026698,0.0022200078,0.257761,0.060800362,-0.0010378641,-0.0062639494,0.18460217,0.003605046,-0.020766744,-0.66458756,-0.06410688,0.16493458,0.0076438896,0.020320818,0.6541524
-0.106639,0.048979145,0.0065302863,0.0139116375,-1.2842007,-0.026039287,0.045827355,-0.20915258,-0.040268004,0.007871601,-0.09053577,0.017845117,0.048121054,0.047666628,0.2107766,-0.30719256,-1.0403492,-0.16814746,-0.37982368,-0.004809904,0.14186208,0.046750754,0.0026413726,-0.0035669028,-0.15036364,-0.0017954379,-0.008959781,-0.56695807,-0.2754738,0.17367063,0.0076438896,-0.111196876,0.020738132
0.0023420057,-0.033377666,-0.020124933,0.0395703,-0.118882254,0.2604525,-0.027534638,0.060968194,0.004273753,0.015283003,0.07707605,-0.029726375,-0.048105985,0.06794244,-0.120974414,-0.06827987,0.46292606,-0.021835228,0.06753472,-0.0025759486,-0.39457768,0.07550001,-0.008119906,0.005142048,-0.22411238,0.004000881,-0.03565284,-0.41938564,-0.007169332,-0.09602288,-0.0012617838,0.007247268,0.39486447
0.002763031,0.10250817,-4.2297477e-05,0.025613816,0.06877351,-0.025427496,0.12346609,0.060339294,0.012726236,0.0013355415,0.03844084,-0.02755881,0.045911536,0.08939896,0.015708007,0.07735271,0.5712824,-0.020894738,0.078715846,0.0017788117,0.3279459,0.08613411,-0.0028095834,0.016109541,-0.21088728,-0.0020059345,0.01571018,0.10768055,0.10553106,-0.023416879,-0.0012617838,-0.0003509922,0.85335
-0.0016854351,-0.03920333,-0.006513477,-0.09397259,0.020771734,-0.019406939,-0.08215712,0.042143457,0.007079493,-0.009548129,-0.13007545,-0.01806883,-0.028234998,-0.18252562,-0.084825546,0.056394666,0.483234,-0.027274,0.06800323,-0.00036300294,-0.39228404,0.0762817,-0.0001591963,-0.0042391494,-0.21147437,-0.027160332,-0.004702462,-0.1890165,-0.024156177,-0.08313299,-0.0007203236,0.0012497583,0.30891606
0.01957866,-0.013182238,0.007454513,-0.05552337,-0.87968415,-0.027521232,0.09895307,0.09896875,0.019225096,-0.06409672,0.049469613,-0.038625713,0.074281454,0.10040179,-0.14483386,-0.04778855,-1.1286167,-0.11900849,-0.40253744,0.0022200078,0.1809565,0.07602497,0.003220764,-0.0073147756,-0.2505615,0.00651263,-0.009956456,-0.30772018,0.20524612,0.0011512788,-0.0012617838,-0.0012694574,0.07905276
0.0046698414,-0.024370631,0.008428222,-0.09310502,0.055907235,-0.029152673,-0.08602002,0.03444712,0.0072779786,-0.0075020734,0.0313062,-0.018744037,-0.053870443,-0.14208543,-0.20034128,0.01995344,-1.0671971,-0.08005939,-0.39997122,-0.00401444,-0.26245317,-0.46584514,0.12170381,-0.0021184543,-0.14821689,0.0040040654,0.011749474,0.02125059,0.08490426,-0.13007434,-0.0007203236,0.0072179525,0.062826514
0.0025622144,-0.01997111,-0.005007517,-0.088277966,0.052699853,-0.022585077,0.09784626,0.05603971,-0.025962174,-0.009686171,0.037941333,0.0253119,-0.032336522,0.13657498,0.026900973,-0.05924098,0.5684098,-0.025095414,0.06199487,0.003234196,0.28560925,0.08587486,0.00060130714,-0.0030434774,0.27594173,0.0007970896,-0.012065866,-0.04195686,-0.0031519802,-0.029816777,0.0012981314,-0.0015686352,0.80852014
-0.09506757,-0.0079330485,0.008456259,0.042446807,-0.036733076,-0.027360883,0.0789227,0.06656435,-0.028163364,0.008180016,0.034754407,0.052510798,0.10497666,0.10064809,0.39854565,-0.23443785,-0.75573933,0.10638998,0.07971202,0.0013452024,0.20031393,0.06802393,-0.0070717474,0.0001864488,-0.14357987,0.0034260422,-0.009956456,-0.26120052,-0.045940623,0.24616198,0.0012981314,0.017816456,0.5170049
-0.008396699,-0.040897273,0.031810183,0.043433964,-0.038646236,0.27033547,-0.07530145,-0.14586227,-0.0047086156,0.010981727,0.04990179,-0.024199799,-0.1063223,-0.16581872,-0.099841714,0.05335304,-0.91320837,0.052093517,0.09199965,0.006694847,-0.23234554,0.078059405,0.00032992676,0.00909574,-0.15163983,0.0040398994,-0.018133692,-0.24144788,-0.031064041,-0.17146243,-0.0022597408,0.0027040532,0.15893516
0.0025622144,0.12223256,-0.0046523926,0.022069426,0.18974294,-0.025178107,0.1052217,0.066587225,0.009716883,-0.0075020734,0.032574702,-0.029948734,-0.035866156,0.12122829,-0.12031581,0.12504807,0.63268554,-0.017327778,0.079105295,0.0016519134,0.2552888,0.10430805,-0.0027380586,-0.0018698368,-0.1741213,0.002975505,0.01571018,0.35322344,0.08375973,-0.09837264,-0.0012617838,-0.001405701,0.8705334
-0.0026462856,-0.037323933,0.038224664,0.047551446,0.00054599065,0.25289106,-0.0706138,-0.1463285,0.014810417,-0.01298639,0.052127328,-0.03177446,-0.028200518,-0.2110181,-0.058677025,0.023691557,0.49400294,-0.022693602,0.053247645,0.0045861946,-0.3490642,0.0780741,-0.0001591963,-0.0058370912,0.27421302,0.0042189034,-0.004702462,-0.20650533,0.004907203,-0.092989415,-0.0022597408,0.03448058,0.5484335
-0.0009490076,-0.03171397,0.009284249,0.026024418,-0.11348169,-0.050159372,-0.08005574,0.035736676,0.004616179,-0.0042767343,0.0296397,-0.029726375,-0.10963195,0.039286766,-0.28165597,-0.014235201,-0.8837939,0.061858125,0.08706323,-0.0023954913,-0.25713778,-0.5064937,0.070365675,-0.0017554217,-0.1398206,0.003965047,-0.013660374,-0.3282744,0.08974703,-0.19937934,-0.0012617838,0.0012822244,0.076531135
-0.00096402504,-0.038942218,0.008428222,-0.08592762,-0.0041463184,-0.031109858,-0.08033665,0.033269946,-0.0013101278,-0.0055263527,0.028489966,-0.021133961,-0.1086613,-0.1765861,-0.2004993,0.0048778225,-0.92210966,0.07183907,0.090250514,-0.010462622,-0.23676023,-0.51529217,-0.023101352,0.00046219444,-0.131987,-0.02797465,-0.006526134,-0.08649732,0.057918355,-0.19843356,-0.0007203236,0.0060363985,0.074959815
-0.0035119895,-0.035943482,0.009284249,0.023748666,-0.124617286,-0.03423274,-0.076503426,0.05156357,0.027043179,-0.0042767343,0.036502898,-0.031315465,-0.052914966,-0.17359978,-0.17902647,-0.32555935,0.5300691,-0.02109329,0.063985966,-0.004953173,0.28066605,0.07464958,0.0064649438,0.00073681935,-0.17265527,-0.06202233,-0.025240064,-0.17623653,0.07701846,-0.10790228,-0.0007203236,0.007926386,0.4201605
-0.000299135,0.15629022,0.010063273,0.026012992,0.02284322,-0.047173277,-0.08541608,-0.16893618,-0.0071324324,-0.009686171,0.027577052,-0.02065408,-0.030862445,0.075998545,-0.10481389,0.045594722,0.48522893,-0.02445184,0.06887884,0.0020608448,-0.38157296,0.07560661,-0.0009954252,-0.0047403118,-0.23769802,-0.00027398748,-0.00022914249,-0.10693894,-0.030728528,-0.07624239,-0.0074298615,-0.0043819337,0.43685114
-0.010763362,-0.025622495,-0.0070805494,0.026690986,0.01930765,-0.03006731,-0.085895956,0.049017597,0.019439263,-0.0042767343,0.04589983,0.04368031,0.039332423,-0.2666401,-0.055520717,-0.08870503,0.51828605,-0.03199819,0.061653163,0.00030331686,0.2816694,0.0818226,-0.0035565912,-0.0019660713,0.22399807,0.0008539788,-0.016539186,-0.20946854,0.100119375,0.14856431,-0.0007203236,-0.000597395,0.7154026
0.0053248946,-0.018268786,-0.00033598556,0.02933337,0.082946435,-0.029764902,0.09038668,0.052631248,0.019394733,0.0038965445,0.041084066,0.03928536,0.042707466,0.124941304,0.3417796,-0.05087334,0.49688953,-0.0316218,0.07649029,0.003234196,0.34483296,0.08381708,-0.00051650277,-0.0059972284,-0.22040296,0.000664123,-0.012065866,0.0053703063,-0.010044295,0.14525846,0.0012981314,-0.0026966932,0.8518934
0.0017858649,-0.024536755,-0.005007517,-0.07733621,-0.0438217,-0.033212483,0.09757324,0.03922666,0.0089216875,-0.0042767343,0.037975334,-0.021208422,-0.052579656,0.09673477,-0.15454374,0.107386835,-0.99003106,-0.0795936,-0.2956293,-0.0010852423,-0.26250196,-0.5786572,-0.0042471294,-0.0044504856,0.30020133,0.00418307,-0.013660374,-0.2285762,0.069947734,-0.12955955,-0.0012617838,-0.0015992762,0.10499741
-0.006740152,-0.019089596,-0.0070805494,0.027515445,0.17994197,-0.029547002,-0.11818135,0.06563563,0.029201722,-0.0075020734,0.040490095,0.039959796,0.031448375,0.14282072,0.048886772,0.029160231,0.58573616,-0.029625868,0.06548714,0.0036696398,0.25295424,0.10163522,-0.0028095834,-0.0018026705,0.21521284,0.0008539788,0.01571018,0.3040338,0.12737855,0.13894942,-0.0012617838,0.0004958269,0.9108524
0.0063653495,0.120313644,-0.0053745727,0.033167385,-0.13754782,-0.025087725,0.13431223,0.064394526,-0.0361355,-0.009577213,0.047254488,-0.02496374,0.037183046,0.10288249,-0.09959842,-0.10297163,0.4950217,-0.027002996,0.05426785,-0.0052453475,0.22422417,0.07213498,0.004445269,-0.0024960306,0.24447037,0.002828623,-0.020766744,-0.66393435,-0.02033558,-0.043111406,0.0012981314,-0.0006920975,0.62721175
0.0010779605,-0.042598538,-0.013592728,-0.12785451,0.23019277,0.14291169,-0.0059106555,0.055982795,0.011827608,-0.010802291,0.05542063,-0.018339682,-0.031077556,-0.18407238,-0.115218885,-0.019726122,0.58300215,-0.025388403,0.07884291,0.0003377794,-0.33311048,0.06625365,-0.004748535,0.0004068188,-0.17691064,-0.029038789,0.01731373,0.7435508,0.0570693,-0.08226023,-0.0007203236,0.021161484,0.72001404
0.0038213423,-0.028645363,0.014616449,-0.10128131,-0.23397934,-0.03321347,-0.042110234,0.028209796,0.007299479,-0.0030344771,0.018676056,-0.03483177,-0.12824577,0.07271564,-0.47946808,-0.22260472,-0.8739708,0.06535862,0.08791366,-0.0077844113,-0.23846893,-0.4811902,0.003736945,-0.008994715,-0.14125928,0.003965047,-0.013660374,-0.4933995,0.050784253,-0.25653762,-0.0012617838,-0.0037468146,0.033244986
0.0016827883,-0.028247977,-0.0046523926,0.029583378,-0.22937177,-0.038956016,0.035373535,0.039659496,0.0069572944,-0.0042767343,0.04085041,-0.041754723,-0.079181,-0.15816867,-0.34346202,-0.21244511,-0.9886955,-0.07756663,-0.3395381,-0.0075506526,-0.24003579,-0.40124914,0.013467894,-0.0026551413,-0.15707344,0.003965047,-0.018133692,-0.51856416,0.063904,-0.18015717,-0.0007203236,-0.0005547179,0.023270635
-0.006740152,-0.024465144,-0.0070805494,0.027515445,0.16855063,-0.02891241,-0.1122485,0.06270789,0.029201722,-0.0075020734,0.041583147,0.039959796,0.031448375,0.14318854,0.033258367,0.028987795,0.59083635,-0.029625868,0.06548714,0.0036696398,0.23141015,0.10461404,-0.0028095834,-0.0018026705,0.19395877,0.0008539788,0.01571018,0.36840746,0.12737855,0.13894942,0.0012981314,0.0004958269,0.9112372
-0.02766216,0.06357227,-0.00041298848,-0.09697776,-0.33482823,-0.019239876,0.10510612,0.059557125,-0.031713225,0.0038787392,0.044920795,-0.035929598,0.048023243,0.08868202,0.09979979,-0.14036432,0.46015835,-0.023700347,0.062050138,-0.004809904,0.2201155,0.072335586,0.0031788251,-0.0056689098,-0.17520764,0.00074513315,-0.020766744,-0.7069973,-0.03221949,-0.032337263,0.0012981314,-0.018119216,0.43217495
0.00018402422,0.20175974,-0.0063583693,0.025741523,0.15580924,-0.034538988,-0.07434099,0.049226128,0.011960703,-0.0075020734,0.036801435,-0.027540958,-0.035866156,-0.2018633,-0.054146603,0.0981848,0.58371663,-0.024398752,0.07738642,-0.0014984233,-0.3379255,0.10709247,-0.005328142,6.48587e-05,-0.14917353,-0.011556774,0.01731373,0.40629888,0.06624933,-0.105533466,-0.0007203236,0.0123520065,0.70524484
